,Ref,Title,Organization,Team_Name,Mapped_Team
190,I-345845,JOL~JAVA : Java System not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
191,I-345701,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
192,I-345644,PRD~ABAP~srv-prd-as-1_PRD_10 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
193,I-345528,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
194,I-345223,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
195,I-345220,PRD~ABAP~srv-prd-as-3_PRD_30 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
196,I-345018,PRD~ABAP~srv-prd-as-2_PRD_20 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
197,I-344936,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
198,I-344932,H4Q00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
199,I-344876,PRD~ABAP~srv-prd-as-4_PRD_40 : High Update Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
